LAST NAME	FIRST NAME	EMAIL	ZIPCODE	CITY	STATE	ADDRESS	PHONE
Abraham	Alyssa	durnetta@jumpstartlab.com	20008	Washington	DC	3000 Cathedral Ave, NW	240 645 5000
Albeck	Ivey	bxll13@jumpstartlab.com	20008	Washington	DC	4425 Reno Road, NW	6035627000
Alvarez	Juliette	luroberts05@jumpstartlab.com	20008	Washington	DC	2727 29th Street NW, Apt. 323	973-332-3000
Amster	Maria	ckongwer@jumpstartlab.com	66046	Lawrence	DC	155 Indian Avenue	xxxx000
Anderson	Alejandro	sydy0314@jumpstartlab.com	20016	Washington	DC	4400 Massachusetts Ave NW	914-441-7000
Arene-Morley	Megan	fhanchan@jumpstartlab.com	20057	Washington	DC	37th and O Streets NW	2022977000
Aroneanu	Wesley	efraguza@jumpstartlab.com	20052	Washington	DC	2021 F St NW, Potomac #1006	908-672-3000
Aronoff	Lindsay	aslissanypirg@jumpstartlab.com	20008	Washington	DC	3000 Cathedral Ave, NW	240 645 5000
Astrove	Zack	fkolfgan@jumpstartlab.com	20008	Washington	DC	3000 Cathedral Ave, NW	240 645 5000
Avalos	Jennifer	deiaz@jumpstartlab.com	20010	Washington	DC	3168 17th St NW	443-504-4000
Ayers	Leah	vjstevens_2010@jumpstartlab.com	20016	Washington	DC	3825 Wisconsin Avenue, NW	301 6545000
B	Jenna	wdack.satin.feathers@jumpstartlab.com	20008	Washington	DC	2727 29th Street NW, Apt. 305	973-902-1000
Baimas-George	Katie	svsullivan88@jumpstartlab.com	20009	Washington	DC	1123 Harvard St. unit R	608-516-9000
Baird	Stephanie	omani.sheva@jumpstartlab.com	20008	Washington	DC	3000 Cathedral Ave, NW	240 645 5000
Barrett	Jenny	ym1106a@jumpstartlab.com	20016	Washington	DC	4201 Massachusetts Ave NW	515-231-4000
Beardsley	Erik	ngangrpl@jumpstartlab.com	20008	Washington	DC	2727 29th Street NW, Apt. 232	201-786-3000
Beckman	Vanessa	leerry.finkel@jumpstartlab.com	66209	Washington	DC	620 21st Street, NW, #201	913.406.3000
Benders	Katey	jdf28@jumpstartlab.com	20008	Washington	DC	3000 Cathedral Ave, NW	240 645 5000
Bennett	Laura	sqerson1@jumpstartlab.com	20036	washington	DC	1616 P Street NW Suite 340	5408883000
Berlin	Lauren	kff_wehrenjk@jumpstartlab.com	20008	Washington	DC	3000 Cathedral Ave, NW	240 645 5000
Betancourt	Lindsay	fkll11@jumpstartlab.com	20011	Washington, DC	DC	1507 Gallatin Street NW	202-882-3000
Bhalsod	Cameron	eoawrence2@jumpstartlab.com	20016	Washington	DC	4400 Massachusetts Avenue	717-339-7000
Billman	Mrinalini	ihnwaax07@jumpstartlab.com	20036	Washington	DC	1616 P Street NW Suite 340	5408883000
Bischoff	Leila	mkoodman@jumpstartlab.com	20016	Washington	DC	4400 Massachusetts Avenue	781-424-0000
